Query-id	Precision	Recall	AP
1	0.7	0.1590909090909091	0.6321428571428571
2	0.2	0.043478260869565216	0.225
3	0.0	0.0	0
4	0.1	0.023809523809523808	0.125
5	0.0	0.0	0
6	0.2	0.047619047619047616	0.375
7	0.1	0.02040816326530612	0.5
8	0.0	0.0	0
9	0.4	0.09523809523809523	0.46825396825396826
10	0.0	0.0	0
11	0.5	0.11904761904761904	0.6783333333333333
12	0.3	0.06	0.36944444444444446
13	0.3	0.06382978723404255	0.27777777777777773
14	0.4	0.08333333333333333	0.5791666666666666
15	0.2	0.046511627906976744	0.7
16	0.4	0.08888888888888889	0.56875
17	0.3	0.07142857142857142	0.25740740740740736
18	0.3	0.0625	0.8095238095238094
19	0.1	0.025	0.16666666666666666
20	0.1	0.022222222222222223	0.2
21	0.2	0.047619047619047616	0.41666666666666663
22	0.1	0.021739130434782608	0.14285714285714285
23	0.4	0.08888888888888889	0.48214285714285715
24	0.5	0.10869565217391304	0.885
26	0.2	0.046511627906976744	0.18253968253968253
27	0.1	0.023255813953488372	0.125
28	0.0	0.0	0
29	0.3	0.0625	0.611111111111111
30	0.4	0.09302325581395349	0.6349206349206349
31	0.4	0.0851063829787234	0.8166666666666667
32	0.3	0.06666666666666667	0.31746031746031744
33	0.2	0.046511627906976744	0.26666666666666666
34	0.3	0.0625	0.5277777777777778
35	0.2	0.043478260869565216	0.6111111111111112
36	0.4	0.08695652173913043	0.6845238095238095
37	0.3	0.06976744186046512	0.24074074074074073
38	0.3	0.06666666666666667	0.33134920634920634
39	0.2	0.047619047619047616	0.375
40	0.1	0.022727272727272728	0.1
41	0.5	0.10869565217391304	0.6722222222222222
42	0.2	0.041666666666666664	0.2777777777777778
43	0.6	0.125	0.6458333333333333
44	0.1	0.019230769230769232	0.25
45	0.2	0.046511627906976744	0.20833333333333331
46	0.2	0.05	0.20833333333333331
47	0.3	0.06382978723404255	0.9166666666666666
48	0.2	0.04081632653061224	0.18253968253968253
49	0.1	0.02040816326530612	0.1
50	0.4	0.0851063829787234	0.4083333333333333
